端,所属模块,一级菜单,二级菜单,Tab,页面路径,基准文档路径,文档类型,备注
PC,1.工作中心,审批中心,业务管理审批,待处理,工作中心 / 审批中心 / 业务管理审批 / 待处理,B端PC/01-工作中心/01-审批中心/03-业务审批/01-待处理/,README,业务审批子页
PC,1.工作中心,审批中心,业务管理审批,已处理,工作中心 / 审批中心 / 业务管理审批 / 已处理,B端PC/01-工作中心/01-审批中心/03-业务审批/02-已处理/,README,
PC,1.工作中心,审批中心,业务管理审批,抄送我的,工作中心 / 审批中心 / 业务管理审批 / 抄送我的,B端PC/01-工作中心/01-审批中心/03-业务审批/03-抄送我的/,README,
PC,1.工作中心,审批中心,业务管理审批,我的申请管理,工作中心 / 审批中心 / 业务管理审批 / 我的申请管理,B端PC/01-工作中心/01-审批中心/03-业务审批/04-我的申请管理/,README,含开锁申请 Tab（6.2 迭代见 B-迭代需求）
PC,1.工作中心,审批中心,业务管理审批,业务申请管理,工作中心 / 审批中心 / 业务管理审批 / 业务申请管理,B端PC/01-工作中心/01-审批中心/03-业务审批/05-业务申请管理/,README,
PC,1.工作中心,审批中心,业务管理审批,监管委托受理,工作中心 / 审批中心 / 业务管理审批 / 监管委托受理,B端PC/01-工作中心/01-审批中心/03-业务审批/06-监管委托受理/,README,
PC,1.工作中心,审批中心,客户需求审批,客户入库预约,工作中心 / 审批中心 / 客户需求审批 / 客户入库预约,B端PC/01-工作中心/01-审批中心/04-客户需求审批/01-客户入库预约/,README,
PC,1.工作中心,审批中心,客户需求审批,客户出库预约,工作中心 / 审批中心 / 客户需求审批 / 客户出库预约,B端PC/01-工作中心/01-审批中心/04-客户需求审批/02-客户出库预约/,README,
PC,1.工作中心,审批中心,客户需求审批,客户融资需求,工作中心 / 审批中心 / 客户需求审批 / 客户融资需求,B端PC/01-工作中心/01-审批中心/04-客户需求审批/03-客户融资需求/,README,
PC,1.工作中心,审批中心,客户需求审批,融资尽调,工作中心 / 审批中心 / 客户需求审批 / 融资尽调,B端PC/01-工作中心/01-审批中心/04-客户需求审批/04-融资尽调/,README,联登智风控入口
PC,1.工作中心,审批中心,客户需求审批,客户销售需求,工作中心 / 审批中心 / 客户需求审批 / 客户销售需求,B端PC/01-工作中心/01-审批中心/04-客户需求审批/05-客户销售需求/,README,
