序号,移动/PC端,使用端,所属模块,一级菜单,二级菜单,二级子功能菜单/Tab,原路径,功能说明,功能按钮/权限分类,数据权限描述,备注说明,创建时间,修定时间,,,,,,,,,,,,,,,
,PC,机构端,1.首页,审批中心,业务管理审批,待处理,审批～我的待办审批～待处理,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流。,设置监管报告,根据当前登录用户针对对应任务的权限决定；,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,已处理,审批～我的待办审批～已处理,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流。,查看页面,,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,抄送我的,审批～我的待办审批～抄送我的,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流。,查看页面,,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,我的申请管理,审批～我的申请管理,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流。,查看页面,,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,业务申请管理,审批～业务申请管理,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流。,查看页面,,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,监管委托受理,审批～监管委托受理,集中处理全系统各类业务单据（入库、出库、移库、盘点、质押）的在线审批流。,查看页面,,,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,客户需求审批,客户入库需求,审批～客户入库需求,基于风控规则和合同校验，对客户提交的入库预约与申请进行业务复核，确认准入货物明细，防范非白名单资产入库。,查看页面、详情、处理,根据当前登录用户针对对应任务的权限决定；,5.4.3版本取消,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,客户入库预约,,基于风控规则和合同校验，对客户提交的入库预约与申请进行业务复核，确认准入货物明细，防范非白名单资产入库。,查看页面、查看详情、去处理,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年5月13日,,,,,,,,,,,,,,,,
,PC,机构端,,,,客户出库需求,审批～客户出库需求,系统联动核心风控校验敞口与解押指令，对出库申请进行严格审批，严防无指令出库与敞口跌穿。,查看页面、详情、处理,根据当前登录用户针对对应任务的权限决定；,5.4.3版本取消,2026年3月10日,,,,,,,,,,,,,,,,
,PC,机构端,,,,客户出库预约,,系统联动核心风控校验敞口与解押指令，对出库申请进行严格审批，严防无指令出库与敞口跌穿。,查看页面、查看详情、去处理,可见数据根据当前登录账号的角色的 仓库 权限决定；,,2026年5月13日,,,,,,,,,,,,,,,,
